Mg,Al,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Sr,Ba,proba_0,proba_1,proba_2,T90_pred
0.0000,0.1429,0.1429,0.0000,0.0000,0.0000,0.1429,0.1429,0.1429,0.0000,0.1429,0.1429,0.0000,0.0000,0.4243,0.0090,0.5668,420.4271
0.0000,0.1429,0.1429,0.0000,0.0000,0.1429,0.1429,0.0000,0.1429,0.1429,0.0000,0.1429,0.0000,0.0000,0.0477,0.0071,0.9452,421.9985
0.1667,0.0000,0.1667,0.0000,0.0000,0.1667,0.0000,0.0000,0.1667,0.1667,0.0000,0.1667,0.0000,0.0000,0.0802,0.3388,0.5809,424.1198
0.1667,0.0000,0.1667,0.1667,0.0000,0.0000,0.0000,0.0000,0.1667,0.0000,0.1667,0.1667,0.0000,0.0000,0.3944,0.4467,0.1589,424.8861
0.1429,0.0000,0.0000,0.0000,0.0000,0.1429,0.1429,0.1429,0.1429,0.0000,0.1429,0.1429,0.0000,0.0000,0.0009,0.0570,0.9421,427.6789
0.2000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.2000,0.2000,0.0000,0.0000,0.0000,0.2527,0.0254,0.7218,431.8620
0.1667,0.0000,0.1667,0.0000,0.0000,0.0000,0.1667,0.0000,0.1667,0.0000,0.1667,0.1667,0.0000,0.0000,0.0015,0.7567,0.2418,432.4210
0.0000,0.0000,0.1429,0.0000,0.0000,0.1429,0.1429,0.1429,0.1429,0.1429,0.0000,0.1429,0.0000,0.0000,0.2742,0.1669,0.5589,432.5117
0.1667,0.0000,0.0000,0.0000,0.0000,0.1667,0.1667,0.1667,0.1667,0.0000,0.1667,0.0000,0.0000,0.0000,0.0125,0.9279,0.0596,433.3597
0.0000,0.1667,0.1667,0.0000,0.0000,0.1667,0.1667,0.0000,0.1667,0.0000,0.0000,0.1667,0.0000,0.0000,0.0400,0.0246,0.9354,433.4628
0.0000,0.0000,0.1667,0.1667,0.0000,0.0000,0.0000,0.1667,0.1667,0.0000,0.1667,0.1667,0.0000,0.0000,0.3893,0.5885,0.0222,434.0082
0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.2000,0.2000,0.2000,0.2000,0.0000,0.0000,0.0772,0.0221,0.9007,434.2921
0.1429,0.1429,0.0000,0.0000,0.0000,0.1429,0.1429,0.0000,0.1429,0.0000,0.1429,0.1429,0.0000,0.0000,0.0057,0.0009,0.9934,434.7787
0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.2000,0.2000,0.2000,0.2000,0.0000,0.0000,0.0000,0.4030,0.5228,0.0742,435.3527
0.1667,0.0000,0.0000,0.1667,0.0000,0.0000,0.0000,0.1667,0.1667,0.0000,0.1667,0.1667,0.0000,0.0000,0.0003,0.0776,0.9221,436.1124
0.0000,0.0000,0.0000,0.1250,0.0000,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,0.0000,0.0000,0.3078,0.0212,0.6710,436.3794
0.0000,0.0000,0.0000,0.1667,0.0000,0.1667,0.1667,0.0000,0.1667,0.0000,0.1667,0.1667,0.0000,0.0000,0.0050,0.0997,0.8952,436.9751
0.0000,0.1250,0.0000,0.0000,0.1250,0.1250,0.1250,0.0000,0.1250,0.1250,0.1250,0.1250,0.0000,0.0000,0.0154,0.0099,0.9747,437.4364
0.0000,0.0000,0.1250,0.0000,0.1250,0.1250,0.1250,0.0000,0.1250,0.1250,0.1250,0.1250,0.0000,0.0000,0.0530,0.1226,0.8244,438.4627
0.0000,0.0000,0.0000,0.0000,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,0.0000,0.0000,0.0021,0.0259,0.9721,438.4933
0.0000,0.1429,0.0000,0.0000,0.1429,0.1429,0.1429,0.0000,0.1429,0.0000,0.1429,0.1429,0.0000,0.0000,0.0005,0.0008,0.9987,438.7886
0.0000,0.1250,0.0000,0.0000,0.1250,0.0000,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,0.0000,0.0000,0.2255,0.0677,0.7068,438.9900
0.0000,0.0000,0.1429,0.0000,0.1429,0.1429,0.1429,0.0000,0.1429,0.0000,0.1429,0.1429,0.0000,0.0000,0.0043,0.1714,0.8243,439.1148
0.0000,0.0000,0.2000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.2000,0.2000,0.2000,0.0000,0.0000,0.1123,0.0030,0.8847,439.2441
0.1250,0.0000,0.0000,0.0000,0.1250,0.1250,0.1250,0.0000,0.1250,0.1250,0.1250,0.1250,0.0000,0.0000,0.0011,0.0112,0.9877,439.3570
0.0000,0.0000,0.1250,0.0000,0.1250,0.0000,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,0.0000,0.0000,0.4852,0.3941,0.1207,439.3769
0.1250,0.0000,0.0000,0.0000,0.1250,0.0000,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,0.0000,0.0000,0.0376,0.1063,0.8561,439.4933
0.1667,0.0000,0.1667,0.0000,0.0000,0.0000,0.1667,0.1667,0.1667,0.0000,0.1667,0.0000,0.0000,0.0000,0.2489,0.7493,0.0018,439.5339
0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.2000,0.2000,0.2000,0.0000,0.0000,0.3835,0.0312,0.5854,439.6096
0.1667,0.1667,0.1667,0.0000,0.0000,0.1667,0.0000,0.0000,0.1667,0.0000,0.0000,0.1667,0.0000,0.0000,0.0487,0.0074,0.9439,439.8203
0.1250,0.1250,0.0000,0.0000,0.1250,0.0000,0.1250,0.0000,0.1250,0.1250,0.1250,0.1250,0.0000,0.0000,0.3417,0.0402,0.6181,439.8968
0.0000,0.0000,0.0000,0.0000,0.1429,0.1429,0.1429,0.1429,0.1429,0.0000,0.1429,0.1429,0.0000,0.0000,0.0001,0.0812,0.9186,439.9238
0.1250,0.0000,0.0000,0.1250,0.0000,0.1250,0.1250,0.0000,0.1250,0.1250,0.1250,0.1250,0.0000,0.0000,0.1535,0.0110,0.8356,440.0464
0.0000,0.0000,0.1667,0.1667,0.0000,0.0000,0.1667,0.0000,0.1667,0.0000,0.1667,0.1667,0.0000,0.0000,0.3789,0.5329,0.0882,440.1020
0.0000,0.0000,0.2000,0.0000,0.0000,0.2000,0.2000,0.0000,0.0000,0.0000,0.2000,0.2000,0.0000,0.0000,0.0028,0.0007,0.9965,440.4479
0.0000,0.0000,0.0000,0.0000,0.1667,0.1667,0.1667,0.0000,0.1667,0.0000,0.1667,0.1667,0.0000,0.0000,0.0002,0.0860,0.9137,440.6494
0.0000,0.0000,0.0000,0.1667,0.0000,0.0000,0.1667,0.1667,0.1667,0.0000,0.1667,0.1667,0.0000,0.0000,0.0059,0.5203,0.4738,441.8256
0.1429,0.1429,0.0000,0.1429,0.0000,0.0000,0.0000,0.1429,0.0000,0.1429,0.1429,0.1429,0.0000,0.0000,0.2632,0.0008,0.7360,442.5273
0.1667,0.0000,0.0000,0.1667,0.0000,0.1667,0.0000,0.1667,0.1667,0.0000,0.1667,0.0000,0.0000,0.0000,0.4432,0.5249,0.0319,442.7090
0.1250,0.0000,0.0000,0.0000,0.1250,0.1250,0.1250,0.1250,0.1250,0.0000,0.1250,0.1250,0.0000,0.0000,0.0005,0.9082,0.0913,442.9258
0.1250,0.1250,0.0000,0.0000,0.1250,0.1250,0.1250,0.0000,0.1250,0.0000,0.1250,0.1250,0.0000,0.0000,0.1511,0.1217,0.7272,442.9359
0.1250,0.0000,0.0000,0.0000,0.1250,0.1250,0.1250,0.0000,0.1250,0.0000,0.1250,0.1250,0.1250,0.0000,0.0203,0.9762,0.0036,442.9515
0.1250,0.0000,0.0000,0.1250,0.0000,0.1250,0.1250,0.1250,0.1250,0.0000,0.1250,0.1250,0.0000,0.0000,0.1069,0.7216,0.1715,442.9854
0.1250,0.0000,0.0000,0.0000,0.1250,0.1250,0.1250,0.1250,0.1250,0.0000,0.1250,0.0000,0.1250,0.0000,0.1177,0.8813,0.0010,443.1752
0.0000,0.2000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.2000,0.2000,0.2000,0.0000,0.0000,0.0520,0.0156,0.9324,443.2088
0.1250,0.0000,0.1250,0.0000,0.1250,0.1250,0.1250,0.0000,0.1250,0.0000,0.1250,0.1250,0.0000,0.0000,0.0317,0.9219,0.0464,443.4417
0.0000,0.0000,0.1250,0.0000,0.1250,0.0000,0.1250,0.1250,0.1250,0.0000,0.1250,0.1250,0.1250,0.0000,0.2657,0.7335,0.0008,443.5081
0.1429,0.0000,0.0000,0.1429,0.0000,0.0000,0.0000,0.1429,0.1429,0.1429,0.1429,0.1429,0.0000,0.0000,0.0500,0.0064,0.9437,444.0341
0.1429,0.1429,0.0000,0.1429,0.0000,0.0000,0.0000,0.0000,0.1429,0.1429,0.1429,0.1429,0.0000,0.0000,0.2523,0.0012,0.7465,444.0426
0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.1667,0.1667,0.1667,0.0000,0.1667,0.1667,0.0000,0.0000,0.0001,0.2410,0.7589,444.1387
0.0000,0.0000,0.1250,0.0000,0.1250,0.1250,0.1250,0.0000,0.1250,0.0000,0.1250,0.1250,0.1250,0.0000,0.1442,0.8522,0.0035,444.2190
0.1250,0.0000,0.1250,0.0000,0.1250,0.1250,0.1250,0.1250,0.1250,0.0000,0.1250,0.0000,0.0000,0.0000,0.4659,0.5335,0.0006,444.4468
0.0000,0.0000,0.1250,0.0000,0.1250,0.1250,0.1250,0.1250,0.1250,0.0000,0.1250,0.1250,0.0000,0.0000,0.0122,0.9696,0.0182,444.7137
0.0000,0.1250,0.0000,0.0000,0.1250,0.1250,0.1250,0.1250,0.1250,0.0000,0.1250,0.1250,0.0000,0.0000,0.1480,0.1440,0.7080,444.7968
